nodes	clusters	HIV_preys	HPV_preys	Secreted_inflamm	HIV_preys	HPV_preys	Secreted_inflamm
KDR	8	0	0	0	0	0	0
LRRFIP1	9	0	0	0	0	0	0
PFN1	0	0	0	0	0	0	0
SHC1	3	0	0	0	0	0	0
TUBB1	0	0	0	0	0	0	0
GNA13	15	0	0	0	0	0	0
GNAI2	11	0	0	0	0	0	0
PLCG1	3	0	0	0	0	0	0
FGF8	2	0	0	0	0	0	0
PTEN	15	0	0	0	0	0	0
CRMP1	0	0	0	0	0	0	0
TLE1	0	0	0	0	0	0	0
CD79B	1	0	0	0	0	0	0
NRG1	8	0	0	0	0	0	0
VEGFA	8	0	0	0	0	0	0
IL6	2	0	0	1	0	0	1
ATF2	0	0	0	0	0	0	0
FGFR1OP2	10	0	0	0	0	0	0
MET	8	0	0	0	0	0	0
NCKAP1	12	0	0	0	0	0	0
NTRK2	9	0	0	0	0	0	0
PRKCD	6	0	0	0	0	0	0
TP53	2	0	0	0	0	0	0
VAV2	3	0	0	0	0	0	0
FGFR4	2	0	0	0	0	0	0
PIK3R3	5	0	0	0	0	0	0
RASGRP1	6	0	0	0	0	0	0
BCR	16	0	0	0	0	0	0
EEF1A1	0	0	0	0	0	0	0
KIT	8	0	0	0	0	0	0
BTK	3	0	0	0	0	0	0
EPO	3	0	0	0	0	0	0
IRS1	9	0	0	0	0	0	0
PIK3CB	5	0	0	0	0	0	0
SYK	1	0	0	0	0	0	0
VAV1	3	0	0	0	0	0	0
ITPR3	6	0	0	0	0	0	0
PIK3C3	17	0	0	0	0	0	0
PIK3R4	17	0	0	0	0	0	0
SNAI1	2	0	0	0	0	0	0
PDGFRB	8	0	0	0	0	0	0
LYN	3	0	0	0	0	0	0
PLCB4	6	0	0	0	0	0	0
AKT2	16	0	0	0	0	0	0
ABI1	12	0	0	0	0	0	0
ABI2	12	0	0	0	0	0	0
BAIAP2	12	0	0	0	0	0	0
CYFIP1	12	0	0	0	0	0	0
CYFIP2	12	0	0	0	0	0	0
FGR	9	0	0	0	0	0	0
HCK	9	0	0	0	0	0	0
INPPL1	5	0	0	0	0	0	0
ITK	3	0	0	0	0	0	0
LCK	9	0	0	0	0	0	0
NCKAP1L	12	0	0	0	0	0	0
PIK3R2	5	0	0	0	0	0	0
WASF1	15	0	0	0	0	0	0
WASF2	12	0	0	0	0	0	0
WASF3	12	0	0	0	0	0	0
YES1	2	0	0	0	0	0	0
BAG4	10	0	0	0	0	0	0
MYO18A	10	0	0	0	0	0	0
DOCK1	9	0	0	0	0	0	0
ERBB3	8	0	0	0	0	0	0
FGFR1OP	10	0	0	0	0	0	0
FLT3	8	0	0	0	0	0	0
GRAP2	3	0	0	0	0	0	0
PIK3AP1	14	0	0	0	0	0	0
AXL	8	0	0	0	0	0	0
CNTRL	10	0	0	0	0	0	0
IGHG2	2	0	0	0	0	0	0
CD247	2	0	0	0	0	0	0
NTRK3	9	0	0	0	0	0	0
FCGR1A	2	0	0	0	0	0	0
FGF2	2	0	0	0	0	0	0
CPSF6	16	0	0	0	0	0	0
PIP4K2A	13	0	0	0	0	0	0
PRKCA	6	0	0	0	0	0	0
RBBP6	16	0	0	0	0	0	0
IGHM	1	0	0	0	0	0	0
IGKC	1	0	0	0	0	0	0
FGFR1	2	0	0	0	0	0	0
ITPKA	3	0	0	0	0	0	0
ITPR1	6	0	0	0	0	0	0
PRKCE	3	0	0	0	0	0	0
ICE2	2	0	0	0	0	0	0
FGFR3	9	0	0	0	0	0	0
CACNA1C	11	0	0	0	0	0	0
TLR9	17	0	0	0	0	0	0
CACNA1D	11	0	0	0	0	0	0
CACNA2D2	11	0	0	0	0	0	0
CACNB2	11	0	0	0	0	0	0
CACNB3	11	0	0	0	0	0	0
PRKCB	6	0	0	0	0	0	0
RASGRP2	6	0	0	0	0	0	0
AKT3	16	0	0	0	0	0	0
ICOS	14	0	0	0	0	0	0
DPP4	2	0	0	0	0	0	0
BDNF	9	0	0	0	0	0	0
NRG2	8	0	0	0	0	0	0
NRG3	8	0	0	0	0	0	0
NRG4	8	0	0	0	0	0	0
PDPK1	2	0	0	0	0	0	0
FCGR2A	10	0	0	0	0	0	0
PIK3R5	5	0	0	0	0	0	0
HGF	14	0	0	0	0	0	0
NTF4	9	0	0	0	0	0	0
DGKG	3	0	0	0	0	0	0
LAT	3	0	0	0	0	0	0
ITPKB	3	0	0	0	0	0	0
CD80	10	0	0	0	0	0	0
CD86	10	0	0	0	0	0	0
FGF10	2	0	0	0	0	0	0
FGF16	2	0	0	0	0	0	0
FGF17	2	0	0	0	0	0	0
FGF18	2	0	0	0	0	0	0
FGF19	2	0	0	0	0	0	0
FGF1	2	0	0	0	0	0	0
FGF20	2	0	0	0	0	0	0
FGF22	2	0	0	0	0	0	0
FGF23	2	0	0	0	0	0	0
FGF3	2	0	0	0	0	0	0
FGF4	2	0	0	0	0	0	0
FGF5	2	0	0	0	0	0	0
FGF6	2	0	0	0	0	0	0
FGF7	2	0	0	0	0	0	0
FGF9	2	0	0	0	0	0	0
KITLG	8	0	0	0	0	0	0
NTF3	9	0	0	0	0	0	0
TRPC1	11	0	0	0	0	0	0
TRPC6	6	0	0	0	0	0	0
ERLIN2	10	0	0	0	0	0	0
C1QA	2	0	0	0	0	0	0
PRKCG	3	0	0	0	0	0	0
GAB2	10	0	0	0	0	0	0
IRAK4	17	0	0	0	0	0	0
INPP5D	5	0	0	0	0	0	0
C1QC	2	0	0	0	0	0	0
DGKA	3	0	0	0	0	0	0
DGKB	3	0	0	0	0	0	0
DGKD	3	0	0	0	0	0	0
DGKH	3	0	0	0	0	0	0
DGKI	3	0	0	0	0	0	0
DGKQ	3	0	0	0	0	0	0
DGKZ	3	0	0	0	0	0	0
PRKCQ	3	0	0	0	0	0	0
PLCH2	6	0	0	0	0	0	0
TRPC3	6	0	0	0	0	0	0
INPP5A	3	0	0	0	0	0	0
ITPR2	6	0	0	0	0	0	0
PIP4K2B	13	0	0	0	0	0	0
PIP4K2C	14	0	0	0	0	0	0
PLCD3	6	0	0	0	0	0	0
DVL1	15	0	0	0	0	0	0
STRN	14	0	0	0	0	0	0
GRIK3	11	0	0	0	0	0	0
ZMYM2	16	0	0	0	0	0	0
BLNK	1	0	0	0	0	0	0
IRAK1	17	0	0	0	0	0	0
TRPC5	11	0	0	0	0	0	0
PRKCH	3	0	0	0	0	0	0
KL	2	0	0	0	0	0	0
MS4A2	3	0	0	0	0	0	0
PDGFRA	8	0	0	0	0	0	0
PIK3CD	5	0	0	0	0	0	0
IGKV2D-40	1	0	0	0	0	0	0
IGHG3	2	0	0	0	0	0	0
IGHG4	2	0	0	0	0	0	0
PLCB2	6	0	0	0	0	0	0
VAV3	3	0	0	0	0	0	0
IGHV1-2	1	0	0	0	0	0	0
IGHV1-46	1	0	0	0	0	0	0
IGHV1-69	1	0	0	0	0	0	0
IGHV2-5	1	0	0	0	0	0	0
IGHV2-70	1	0	0	0	0	0	0
IGHV3-11	1	0	0	0	0	0	0
IGHV3-13	1	0	0	0	0	0	0
IGHV3-23	1	0	0	0	0	0	0
IGHV3-30	1	0	0	0	0	0	0
IGHV3-33	1	0	0	0	0	0	0
IGHV3-48	1	0	0	0	0	0	0
IGHV3-53	1	0	0	0	0	0	0
IGHV3-7	1	0	0	0	0	0	0
IGHV3-9	1	0	0	0	0	0	0
IGHV4-34	1	0	0	0	0	0	0
IGHV4-39	1	0	0	0	0	0	0
IGHV4-59	1	0	0	0	0	0	0
IGKV1-12	1	0	0	0	0	0	0
IGKV1-16	1	0	0	0	0	0	0
IGKV1-17	1	0	0	0	0	0	0
IGKV1-33	1	0	0	0	0	0	0
IGKV1-39	1	0	0	0	0	0	0
IGKV1-5	1	0	0	0	0	0	0
IGKV1D-12	1	0	0	0	0	0	0
IGKV1D-16	1	0	0	0	0	0	0
IGKV1D-33	1	0	0	0	0	0	0
IGKV1D-39	1	0	0	0	0	0	0
IGKV2-28	1	0	0	0	0	0	0
IGKV2-29	1	0	0	0	0	0	0
IGKV2-30	1	0	0	0	0	0	0
IGKV2D-28	1	0	0	0	0	0	0
IGKV2D-30	1	0	0	0	0	0	0
IGKV3-11	1	0	0	0	0	0	0
IGKV3-15	1	0	0	0	0	0	0
IGKV3-20	1	0	0	0	0	0	0
IGKV3D-20	1	0	0	0	0	0	0
IGKV4-1	1	0	0	0	0	0	0
IGKV5-2	1	0	0	0	0	0	0
IGLC1	4	0	0	0	0	0	0
IGLC2	4	0	0	0	0	0	0
IGLC3	4	0	0	0	0	0	0
IGLC6	4	0	0	0	0	0	0
IGLC7	4	0	0	0	0	0	0
IGLV1-40	4	0	0	0	0	0	0
IGLV1-44	4	0	0	0	0	0	0
IGLV1-47	4	0	0	0	0	0	0
IGLV1-51	4	0	0	0	0	0	0
IGLV2-11	4	0	0	0	0	0	0
IGLV2-14	4	0	0	0	0	0	0
IGLV2-23	4	0	0	0	0	0	0
IGLV2-8	4	0	0	0	0	0	0
IGLV3-19	4	0	0	0	0	0	0
IGLV3-1	4	0	0	0	0	0	0
IGLV3-21	4	0	0	0	0	0	0
IGLV3-25	4	0	0	0	0	0	0
IGLV3-27	4	0	0	0	0	0	0
IGLV6-57	4	0	0	0	0	0	0
IGLV7-43	4	0	0	0	0	0	0
PIK3CG	5	0	0	0	0	0	0
CD28	10	0	0	0	0	0	0
TRIM24	16	0	0	0	0	0	0
ITPKC	3	0	0	0	0	0	0
DAPP1	2	0	0	0	0	0	0
FCGR3A	2	0	0	0	0	0	0
DAGLB	3	1	0	0	1	0	0
IL1RL1	17	0	0	0	0	0	0
SH2D2A	8	0	0	0	0	0	0
LCP2	3	0	0	0	0	0	0
RASGRP3	3	0	0	0	0	0	0
DAGLA	3	0	0	0	0	0	0
CUX1	10	0	0	0	0	0	0
GAB1	10	0	0	0	0	0	0
IGHD	1	0	0	0	0	0	0
INPP5J	13	0	0	0	0	0	0
KLB	2	0	0	0	0	0	0
LAT2	10	0	0	0	0	0	0
TEC	3	0	0	0	0	0	0
TXK	3	0	0	0	0	0	0
C1S	2	0	0	0	0	0	0
ELMO2	2	0	0	0	0	0	0
DGKE	3	0	0	0	0	0	0
FRS2	9	0	0	0	0	0	0
IRS2	3	0	0	0	0	0	0
GP1BA	2	0	0	0	0	0	0
PLCE1	6	0	0	0	0	0	0
C1QB	2	0	0	0	0	0	0
EPOR	3	0	0	0	0	0	0
KLRC2	14	0	0	0	0	0	0
KLRD1	14	0	0	0	0	0	0
IGHE	3	0	0	0	0	0	0
C1R	2	0	0	0	0	0	0
DGKK	3	0	0	0	0	0	0
TRPC7	6	0	0	0	0	0	0
TRPC4	11	0	0	0	0	0	0
IL33	15	0	0	0	0	0	0
TRAT1	14	0	0	0	0	0	0
FLT3LG	8	0	0	0	0	0	0
TREM2	14	0	0	0	0	0	0
FCGR2B	2	0	0	0	0	0	0
RGS7	11	0	0	0	0	0	0
PIK3R6	5	0	0	0	0	0	0
PLCH1	6	0	0	0	0	0	0
PLCB1	6	0	0	0	0	0	0
FCER1A	3	0	0	0	0	0	0
FCAMR	1	0	0	0	0	0	0
