nodes	clusters	HIV_preys	HPV_preys	Secreted_inflamm
HIST1H3I	5	0	0	0
HIST1H3J	5	0	0	0
ESPL1	22	0	0	0
ASB15	1	0	0	0
FBXL5	20	0	0	0
COMMD10	15	0	0	0
BAZ1B	10	0	0	0
FBXL18	1	0	0	0
HAUS2	3	0	0	0
DDX42	30	0	0	0
GTF2F2	16	0	0	0
ACTL6A	5	0	0	0
ACTR10	28	0	0	0
AJUBA	22	0	0	0
GTF2A1	19	0	0	0
GTF2H4	18	0	0	0
CALD1	6	0	0	0
CENPC	17	0	0	0
CGN	11	0	0	0
DDX21	31	0	0	0
GNL3	12	0	0	0
AKAP2	21	0	0	0
ASB12	1	0	0	0
ASH2L	4	0	0	0
BRD8	29	0	0	0
CNN3	11	0	0	0
COPS7B	1	0	0	0
DCTN4	28	0	0	0
DDX39A	14	0	0	0
EIF3K	9	1	0	0
EPC1	10	0	0	0
FMNL2	11	0	0	0
G3BP1	21	0	0	0
GPRC5A	25	0	0	0
GPS1	1	0	0	0
DCTN3	3	0	0	0
DCUN1D1	1	0	0	0
FBXO40	1	0	0	0
ANP32E	10	0	0	0
CCNT1	19	1	0	0
CSTF1	30	0	0	0
GTPBP4	12	0	0	0
CAPZA3	28	0	0	0
EAF2	19	0	0	0
FBXL22	1	0	0	0
ARCN1	24	0	0	0
CD55	24	0	0	0
COPE	28	0	0	0
COPG2	24	0	0	0
COPZ1	24	0	0	0
COPZ2	28	0	0	0
DCTN5	28	0	0	0
DCTN6	28	0	0	0
DYNC1LI2	3	0	0	0
FOLR1	24	0	0	0
B9D2	3	0	0	0
C2CD3	3	0	0	0
CC2D2A	3	0	0	0
CEP131	3	0	0	0
CEP192	3	0	0	0
CEP290	3	0	0	0
CEP41	3	0	0	0
CEP72	3	0	0	0
CSNK1D	3	0	0	0
HAUS3	3	0	0	0
HAUS4	3	0	0	0
HAUS5	3	0	0	0
HAUS6	3	0	0	0
CCAR2	11	1	0	0
EXO1	33	0	0	0
AKT3	13	0	0	0
ERCC3	18	0	0	0
FKBP1B	6	0	0	0
COPRS	4	0	0	0
ELL3	19	0	0	0
CACNA1E	6	0	0	0
CD80	13	0	0	0
FGF16	13	0	0	0
FGF18	13	0	0	0
FGF19	13	0	0	0
FAU	9	0	0	0
COMMD1	15	0	0	0
ERLIN2	13	0	0	0
GFM1	9	0	0	0
EXOSC8	8	0	0	0
DENND1A	25	0	0	0
CCNT2	19	0	0	0
ELL2	19	0	0	0
ELL	19	0	0	0
ELOA3B	19	0	0	0
ELOA3D	19	0	0	0
ELOA3	19	0	0	0
ELOA	18	0	0	0
EPB41L5	12	0	0	0
GTF2H2	18	0	0	0
GTF2H3	18	0	0	0
GTF2H5	18	0	0	0
DDX47	8	0	1	0
FXR1	11	0	0	0
HERC5	1	0	0	0
EIF3L	12	1	0	0
BRPF1	4	0	0	0
ASB10	1	0	0	0
CENPI	17	0	0	0
CENPK	17	0	0	0
CENPL	17	0	0	0
CENPM	17	0	0	0
CENPN	17	0	0	0
CENPO	17	0	0	0
CENPS	17	0	0	0
CENPT	17	0	0	0
CENPU	17	0	0	0
CLIP1	22	0	0	0
DIAPH2	22	0	0	0
DSN1	22	0	0	0
CMAS	5	0	0	0
CXXC1	12	0	0	0
DNAJB12	11	0	0	0
EIF4ENIF1	11	0	0	0
EXOSC7	8	0	0	0
FARP1	11	0	0	0
FBXL7	1	0	0	0
BAP1	10	0	0	0
ASB2	27	0	0	0
BCL9L	10	0	0	0
CHCHD1	9	1	0	0
DAP3	9	0	0	0
EXOSC9	8	0	0	0
EIF4H	9	0	0	0
EXOSC6	8	0	0	0
BLNK	13	0	0	0
BLM	33	0	1	0
DNA2	33	0	0	0
CDC6	26	0	0	0
ASB5	1	0	0	0
COMMD8	15	0	0	0
COMMD9	15	0	0	0
CCNF	20	0	0	0
FBXL8	1	0	0	0
ASB4	1	0	0	0
CSTF3	14	0	0	0
CWC25	30	0	0	0
CWC27	30	0	0	0
DHX35	16	0	0	0
ERCC4	33	0	0	0
FRG1	16	0	0	0
GPATCH1	14	0	0	0
ASB13	27	0	0	0
ASB8	1	0	0	0
ANAPC10	8	0	0	0
ANAPC13	8	0	0	0
ANAPC16	26	0	0	0
ANAPC4	8	0	0	0
ANAPC5	26	0	0	0
ANAPC7	8	0	0	0
CDC26	8	0	0	0
ANAPC1	26	0	1	0
ARHGEF2	25	0	0	0
COMMD2	15	0	0	0
COMMD4	1	0	0	0
COMMD5	15	0	0	0
COMMD6	15	0	0	0
COMMD7	15	0	0	0
DCUN1D2	15	0	0	0
DCUN1D4	15	0	0	0
CD28	13	0	0	0
FCGR3A	13	0	0	0
CHD1L	33	0	0	0
CHAF1B	4	0	0	0
GNL2	5	0	1	0
ERCC5	33	0	0	0
ERCC8	8	0	0	0
GCFC2	32	0	0	0
CUX1	13	0	0	0
BCL9	10	0	0	0
FBXL15	1	0	0	0
FBXO10	1	0	0	0
CATSPERD	6	0	0	0
FBXL3	20	0	0	0
CD3EAP	5	0	0	0
FRS2	13	0	0	0
EEFSEC	9	0	0	0
CACNA2D3	6	0	0	0
CENPX	7	0	0	0
DHX37	8	0	0	0
EPOR	13	0	0	0
GFM2	9	0	0	0
BMS1	8	0	0	0
GTF2A2	19	0	0	0
CACNB4	6	0	0	0
CACNA2D4	6	0	0	0
CATSPER3	6	0	0	0
CATSPER4	6	0	0	0
GRIK5	6	0	0	0
FLT3LG	13	0	0	0
DTL	1	0	0	0
FBXL16	1	0	0	0
C1orf198	25	0	0	0
CHRNB3	6	0	0	0
CENPW	7	0	0	0
CACNG6	6	0	0	0
CACNG7	6	0	0	0
CATSPERB	6	0	0	0
CATSPERG	6	0	0	0
FBXW2	20	0	0	0
ASB1	1	0	0	0
BTBD6	1	0	0	0
FBXO32	1	0	0	0
FBXW9	20	0	0	0
ASB14	1	0	0	0
ASB17	1	0	0	0
FBXO9	20	0	0	0
FBXO27	1	0	0	0
FBXO41	1	0	0	0
FBXW10	20	0	0	0
FBXW12	1	0	0	0
